Date,Cases
3/31/21,30514628
04-01-2021,30593790
04-02-2021,30664696
04-03-2021,30728451
04-04-2021,30764622
04-05-2021,30839461
04-06-2021,30900352
04-07-2021,30975356
04-08-2021,31055466
04-09-2021,31139656
04-10-2021,31208303
04-11-2021,31254371
04-12-2021,31322617
4/13/21,31400665
4/14/21,31476281
4/15/21,31550254
4/16/21,31630485
4/17/21,31683828
4/18/21,31726398
4/19/21,31793549
4/20/21,31854301
4/21/21,31918092
4/22/21,31984574
4/23/21,32047655
4/24/21,32101294
4/25/21,32134273
4/26/21,32180743
4/27/21,32231193
4/28/21,32286450
4/29/21,32344947
4/30/21,32403038
05-01-2021,32449270
05-02-2021,32479015
05-03-2021,32528554
05-04-2021,32568638
05-05-2021,32613860
05-06-2021,32661641
05-07-2021,32709256
05-08-2021,32743496
05-09-2021,32765363
05-10-2021,32801173
05-11-2021,32834768
05-12-2021,32870682
5/13/21,32909621
5/14/21,32951232
5/15/21,32980577
5/16/21,32997803
5/17/21,33026174
5/18/21,33053593
5/19/21,33082873
5/20/21,33113045
5/21/21,33141212
5/22/21,33161647
5/23/21,33174963
5/24/21,33199963
5/25/21,33222598
5/26/21,33246961
5/27/21,33274300
5/28/21,33296040
5/29/21,33308507
5/30/21,33315432
5/31/21,33321339
06-01-2021,33343457
06-02-2021,33360383
06-03-2021,33379573
06-04-2021,33396482
06-05-2021,33410818
06-06-2021,33416490
06-07-2021,33431598
06-08-2021,33444432
06-09-2021,33463334
06-10-2021,33477757
06-11-2021,33502493
06-12-2021,33511179
6/13/21,33516336
6/14/21,33528696
6/15/21,33539531
6/16/21,33552085
6/17/21,33562701
6/18/21,33583900
6/19/21,33592391
6/20/21,33596844
6/21/21,33608514
6/22/21,33619249
6/23/21,33632245
6/24/21,33646022
6/25/21,33670281
6/26/21,33678926
6/27/21,33683177
6/28/21,33697763
6/29/21,33704453
6/30/21,33720706
07-01-2021,33735145
07-02-2021,33764564
07-03-2021,33769190
07-04-2021,33772947
07-05-2021,33781577
07-06-2021,33804617
07-07-2021,33827571
07-08-2021,33846692
07-09-2021,33894318
07-10-2021,33902620
07-11-2021,33913413
07-12-2021,33947062
7/13/21,33973297
7/14/21,34006036
7/15/21,34036018
7/16/21,34113909
7/17/21,34125631
7/18/21,34144867
7/19/21,34195941
7/20/21,34237700
7/21/21,34288084
7/22/21,34342818
7/23/21,34463204
7/24/21,34488217
7/25/21,34512327
7/26/21,34599280
7/27/21,34667693
7/28/21,34736785
7/29/21,34816304
7/30/21,35005439
7/31/21,35037721
08-01-2021,35079157
08-02-2021,35199884
08-03-2021,35302630
08-04-2021,35399460
08-05-2021,35510108
08-06-2021,35765158
08-07-2021,35813887
08-08-2021,35840427
08-09-2021,36021651
08-10-2021,36142600
08-11-2021,36298622
08-12-2021,36440576
8/13/21,36670333
8/14/21,36719217
8/15/21,36760938
8/16/21,36980988
8/17/21,37133106
8/18/21,37291734
8/19/21,37448801
8/20/21,37694391
8/21/21,37760319
8/22/21,37796276
8/23/21,38034278
8/24/21,38190953
8/25/21,38360617
8/26/21,38545055
8/27/21,38788031
8/28/21,38848628
8/29/21,38890744
8/30/21,39150680
8/31/21,39321525
09-01-2021,39523397
09-02-2021,39699170
09-03-2021,39933905
09-04-2021,39998223
09-05-2021,40038313
09-06-2021,40113317
09-07-2021,40389635
09-08-2021,40571168
09-09-2021,40730412
09-10-2021,40957627
09-11-2021,41021592
09-12-2021,41057176
9/13/21,41317328
9/14/21,41461662
9/15/21,41627946
9/16/21,41785903
9/17/21,41993789
9/18/21,42050638
9/19/21,42088171
9/20/21,42289819
9/21/21,42410607
9/22/21,42543510
9/23/21,42669114
